worm genus;a genus of worms
genus hugueninia;1 species: tansy-leaved rocket
genus lepechinia;a dicotyledonous genus of the family labiatae
genus gallinago;snipes
payena;genus of medium to large malaysian trees yielding gutta-percha
genus paradoxurus;palm civets
genus sambucus;elder. elderberry
acnidosporidia;a subclass of sporozoa
mantidae;mantises
didelphis;type genus of the family didelphidae
genus urocystis;a genus of smut fungi belonging to the family tilletiaceae
genus alectura;brush turkeys
genus mastigoproctus;giant whip scorpions
scolymus;small genus of thistlelike herbs of the mediterranean region
order aspergillales;order of fungi having a closed ascocarp (cleistothecium) with the asci scattered rather than gathered into a hymenial layer
genus carya;genus of large deciduous nut-bearing trees. united states and china
mahonia;evergreen shrubs and small trees of north and central america and asia
ditchmoss;submerged freshwater perennials
commiphora;genus of east indian and african trees yielding balsamic products
arca;type genus of the family arcidae: ark shells and blood clams
drepanididae;hawaiian honeycreepers
family cervidae;deer: reindeer. moose or elks. muntjacs. roe deer
megaderma;type genus of the megadermatidae
genus regulus;a genus of birds of the family sylviidae including kinglets
family emydidae;box and water turtles
family polypedatidae;old world tree frogs
genus lobularia;sweet alyssum
scaphosepalum;comprises some tropical american species usually placed in genus masdevallia: diminutive plants with small flowers carried on one scape
genus tubercularia;type genus of the tuberculariaceae. fungi with nodules of red or pink conidia. some cause diebacks of woody plants
larrea;xerophytic evergreen shrubs. south america to southwestern united states
merginae;mergansers and closely related diving birds
genus tithonia;genus of robust herbs of mexico and central america: mexican sunflower
dinornithidae;moas
coccinellidae;the ladybugs
genus menura;type and sole genus of the family menuridae
genus cryptotis;least shrews
genus phthirus;true lice: crab lice
hexapoda;insects. about five-sixths of all known animal species
genus hosta;robust east asian clump-forming perennial herbs having racemose flowers: plantain lilies. sometimes placed in family hostaceae
genus inga;genus of tropical trees or shrubs with flowers in mimosiform heads
gadiformes;cods, haddocks, grenadiers. in some classifications considered equivalent to the order anacanthini
monocotyledonae;comprising seed plants that produce an embryo with a single cotyledon and parallel-veined leaves: includes grasses and lilies and palms and orchids. divided into four subclasses or superorders: alismatidae. arecidae. commelinidae. and liliidae
garrulinae;subfamily of the crow family: jays
gerrhonotus;alligator lizards
dwarf maple;small maple of northwestern north america
zigadenus;genus of mostly north american poisonous plants. sometimes placed in family melanthiaceae
family simaroubaceae;chiefly tropical trees and shrubs with bitter bark having dry usually one-seeded winged fruit
psilophytales;paleozoic simple dichotomously branched plants of europe and eastern canada including the oldest known vascular land plants
staff tree family;trees and shrubs and woody vines usually having bright-colored fruits
class oligochaeta;earthworms
family amphisbaenidae;worm lizards
genus chrysosplenium;genus of widely distributed semiaquatic herbs with minute greenish-yellow apetalous flowers
family peneidae;tropical prawns
subfamily perdicinae;old world partridges
spermophilus;typical ground squirrels
sciurus;type genus of the sciuridae. typical moderate-sized arboreal squirrels
genus melastoma;type genus of melastomataceae. asiatic shrubs with leathery leaves and large purple flowers followed by edible fleshy black berries
anguis;type genus of the anguidae: blindworms
phalangida;harvestmen
order umbellales;plants having umbels or corymbs of uniovulate flowers. includes the umbelliferae (chiefly herbs) and cornaceae (chiefly trees or shrubs)
psidium;guavas
genus calypso;1 species found throughout much of northern north america and eurasia
crepis;hawk's beard. cosmopolitan in northern hemisphere
thuja;red cedar
limulidae;horseshoe crabs
linnaea;1 species: twinflower
family halictidae;a family of small solitary bees. many are valuable pollinators for agriculture
family ammodytidae;sand lances
lyonia;evergreen or deciduous shrubs or small trees of united states to antilles and eastern asia to the himalaya
genus anethum;dill
spondias;tropical trees having one-seeded fruit
bungarus;kraits
lily family;includes species sometimes divided among the following families: alliaceae. aloeaceae. alstroemeriaceae. aphyllanthaceae. asparagaceae. asphodelaceae. colchicaceae. convallariaceae. hemerocallidaceae. hostaceae. hyacinthaceae. melanthiaceae. ruscaceae. smilacaceae. tecophilaeacea. xanthorrhoeaceae
lycium;deciduous and evergreen shrubs often spiny. cosmopolitan in temperate and subtropical regions
family nepidae;water scorpions
cajanus;erect densely branched shrubby perennials of old world tropics. naturalized in other warm regions
order marsupialia;coextensive with the subclass metatheria
genus hirudo;type genus of the family hirudinidae
genus pteropus;a genus of megachiroptera
parthenium;small genus of north american herbs and shrubs with terminal panicles of small ray flowers
eimeriidae;a family of protoctista in the order coccidia
genus gastrophryne;primarily tropical narrow-mouthed toads
genus ulva;type genus of the family ulvaceae. green seaweed having a thallus two cells thick: sea lettuce
plicatoperipatus;a genus of peripatidae
genus odontaspis;type and sole genus of carchariidae: sand sharks
linanthus;a genus of herbs of the family polemoniaceae. found in western united states
brassia;genus of tropical american epiphytic orchids having striking axillary racemes of yellow to green spiderlike flowers with long slender sepals and warty lips: spider orchids
natrix;water snakes. a cosmopolitan genus
genus agrostis;annual or perennial grasses cosmopolitan in northern hemisphere: bent grass (so named from 'bent' meaning an area of unfenced grassland)
cistothorus;marsh wrens
order phallales;order of fungi comprising the stinkhorns and related forms whose mature hymenium is slimy and fetid. sometimes placed in subclass homobasidiomycetes
primulales;primulaceae. theophrastaceae. myrsinaceae. and (in some classifications) plumbaginaceae
family mobulidae;large rays lacking venomous spines: mantas
subclass heterobasidiomycetes;category used in some classification systems for various basidiomycetous fungi including rusts and smuts
order araneida;spiders
syngonium;epiphytic or terrestrial climbing shrubs of central and south america. used as ornamental houseplants for their velvety foliage
genus hardenbergia;small genus of australian woody vines with small violet flowers. closely related to genus kennedia
order myrtales;myrtaceae. combretaceae. elaeagnaceae. haloragidaceae. melastomaceae. lecythidaceae. lythraceae. rhizophoraceae. onagraceae. lecythidaceae. punicaceae
genus urginea;mediterranean liliaceous plants. sometimes placed in family hyacinthaceae
genus hydrophyllum;waterleaf
family myacidae;soft-shell clams
mangrove family;trees and shrubs that usually form dense jungles along tropical seacoasts
genus procyon;type genus of the family procyonidae: raccoons
agrostemma;a caryophylloid dicot genus including corn cockles
order lepidoptera;moths and butterflies
family hydrobatidae;storm petrels
genus diodon;type genus of the diodontidae
anisotremus;a genus of haemulidae
cupressaceae;cypresses and junipers and many cedars
cladorhyncus;one of two genera of stilts. similar to avocets but with straight bills
pyralis;type genus of the pyralidae
upupidae;hoopoes
suricata;meerkats
genus shigella;a genus of bacteria
entoloma;pink-spored agarics lacking both volva and annulus and including some that are poisonous
genus suillus;a genus of fungi belonging to the family boletaceae
genus humulus;hops: hardy perennial vines of europe, north america and central and eastern asia producing a latex sap. in some classifications included in the family urticaceae
annona;type genus of the annonaceae. tropical american trees or shrubs
genus ariocarpus;slow-growing geophytic cacti. northern and eastern mexico. southern texas
araucaria family;tall evergreen cone-bearing trees of south america and australia with broad leathery leaves. in some classifications included in the pinaceae
triga;type genus of the triglidae
genus actaea;baneberry
viburnum;deciduous or evergreen shrubs or small trees: arrow-wood. wayfaring tree
lophius;type genus of family lophiidae
tadarida;freetail bats
