tightfistedness;extreme stinginess
doctor s degree;one of the highest academic degrees conferred by a university
cardiac insufficiency;inadequate blood flow to the heart muscles. can cause angina pectoris
pigmentation;coloration of living tissues by pigment
shabbiness;a lack of elegance as a consequence of wearing threadbare or dirty clothing
petiteness;the property of being very small in size
invisibleness;the quality of not being perceivable by the eye
beguilement;magnetic personal charm
wickedness;the quality of being wicked
parental quality;a quality appropriate to a parent
subsequentness;following in time
drive;the trait of being highly motivated. 'his drive and energy exhausted his co-workers'
impenetrability;incomprehensibility by virtue of being too dense to understand
chicness;elegance by virtue of being fashionable
system;an ordered manner. orderliness by virtue of being methodical and well organized. 'his compulsive organization was not an endearing quality'. 'we can't do it unless we establish some system around here'
capableness;the quality of being capable -- physically or intellectually or legally. 'he worked to the limits of his capability'
pallet;the range of colour characteristic of a particular artist or painting or school of art'
discretion;the power of making free choices unconstrained by external agencies
team spirit;the spirit of a group that makes the members want the group to succeed
waste;the trait of wasting resources. 'a life characterized by thriftlessness and waste'. 'the wastefulness of missed opportunities'
contrariness;a fussy and eccentric disposition
complexness;the quality of being intricate and compounded. 'he enjoyed the complexity of modern computers'
spectral colour;a color that has hue
hope;grounds for feeling hopeful about the future. 'there is little or no promise that he will recover'
bachelor of music;a bachelor's degree in music
absurdity;a ludicrous folly. 'the crowd laughed at the absurdity of the clown's behavior'
fluidity;the property of flowing easily
analog;something having the property of being analogous to something else
bitterness;a sharp and bitter manner
untimeliness;the quality of occurring at an inconvenient time
fussiness;unnecessary elaborateness in details
focus;maximum clarity or distinctness of an idea. 'the controversy brought clearly into focus an important difference of opinion'
ornateness;an ornate appearance. being elaborately decorated
second class;not the highest rank in a classification
locomotion;the power or ability to move
moroseness;a sullen moody resentful disposition
abstractness;the quality of being considered apart from an specific instance or object
verdure;lush greenness of flourishing vegetation
equivocalness;unclearness by virtue of having more than one meaning
fixedness;the quality of being fixed and unchangeable. 'the fixedness of his gaze upset her'
intrusiveness;aggressiveness as evidenced by intruding--by advancing oneself or one's ideas without invitation
wrongfulness;that which is contrary to the principles of justice or law. 'he feels that you are in the wrong'
assiduity;great diligence
associate;a degree granted by a two-year college on successful completion of the undergraduates course of studies
utmost;the greatestest possible degree. 'he tried his utmost'
reflexion;the ability to reflect beams or rays
sooth;(archaic) truth or reality. 'in sooth'
distastefulness;the quality of being offensive
modernity;the quality of being current or of the present: 'a shopping mall would instill a spirit of modernity into this village'
affinity;a natural attraction or feeling of kinship: 'an affinity for politics'. 'the mysterious affinity between them'. 'james's affinity with sam'
extraordinariness;the quality of being extraordinary and not commonly encountered
bountifulness;the property of copious abundance
steadiness;the quality of being steady or securely and immovably fixed in place
sobriety;moderation in or abstinence from alcohol or drugs
aas;an associate degree in applied science
practicability;the quality of being usable
giddiness;an impulsive scatterbrained manner
tangibility;the quality of being perceivable by touch
looseness;movement or space for movement. 'there was too much play in the steering wheel'
