alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
morass;a soft wet area of low-lying land that sinks underfoot
aniline;oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines
lampblack;a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
hg;a heavy silvery toxic univalent and bivalent metallic element. the only metal that is liquid at ordinary temperatures
chelate;a heterocyclic compound having a metal ion attached by coordinate bonds to at least two nonmetal ions
absinthe oil;a dark bitter oil obtained obtained from wormwood leaves. flavors absinthe liqueurs
thymine;a base found in dna (but not in rna) and derived from pyrimidine. pairs with adenine
i;a nonmetallic element belonging to the halogens. used especially in medicine and photography and in dyes. occurs naturally only in combination in small quantities (as in sea water or rocks)
polysaccharide;any of a class of carbohydrates whose molecules contain chains of monosaccharide molecules
fruit crush;drink produced by squeezing or crushing fruit
insect repellant;a chemical substance that repels insects
streptolysin;any of several hemolysins derived from strains of streptococcus
transfer dna;the form of rna that attaches the correct amino acid to the protein chain that is being synthesized at the ribosome of the cell (according to directions coded in the mrna)
atomic number;a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element. occurs in various minerals but is the only metal that occurs abundantly in large masses. used as an electrical and thermal conductor
thorazine;a drug (trade name thorazine) derived from phenothiazine that has anti-psychotic effects and is used as a sedative and tranquilizer
sodium;a silvery soft waxy metallic element of the alkali metal group. occurs abundantly in natural compounds (especially in salt water). burns with a yellow flame and reacts violently in water. occurs in sea water and in the mineral halite (rock salt)
demitasse;small cup of strong black coffee without milk or cream
swizzle;any of various tall frothy mixed drinks made usually of rum and lime juice and sugar shaken with ice
cr;a hard brittle blue-white multivalent metallic element. resistant to corrosion and tarnishing
vanillin;a crystalline compound found in vanilla beans and some balsam resins. used in perfumes and flavorings
gondang wax;a hard cream-colored wax obtained from a javanese fig tree
pink wine;pinkish table wine from red grapes whose skins were removed after fermentation began
tonic;a sweet drink containing carbonated water and flavoring. 'in new england they call sodas tonics'
hard solder;solder that contains copper. melts at a relatively high temperature. used for brazing
triglyceride;naturally occurring in animal and vegetable tissues. an important energy source forming much of the fat stored by the body
valeric acid;a clear liquid carboxylic acid used in perfumes and drugs
astatine;a highly unstable radioactive element (the heaviest of the halogen series). a decay product of uranium and thorium
formulation;a substance prepared according to a formula
cornflour;starch prepared from the grains of corn. used in cooking as a thickener
nitrogen;a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas. constitutes 78 percent of the atmosphere by volume. a constituent of all living tissues
nitrocellulose;nitric acid esters. used in lacquers and explosives
atomic number;a heavy toxic silvery-white radioactive metallic element. occurs in many isotopes. used for nuclear fuels and nuclear weapons
cf;a radioactive transuranic element. discovered by bombarding curium with alpha particles
cadaverine;a colorless toxic ptomaine with an unpleasant odor formed during the putrefaction of animal tissue
muriatic acid;a former name for hydrochloric acid
arsenate;a salt or ester of arsenic acid
lithium carbonate;a white powder (lico3) used in manufacturing glass and ceramics and as a drug. the drug (trade names lithane or lithonate) is used to treat some forms of depression and manic episodes of manic-depressive disorder
jagghery;unrefined brown sugar made from palm sap
inebriant;a liquor or brew containing alcohol as the active agent. 'alcohol (or drink) ruined him'
manioca;a starch made by leaching and drying the root of the cassava plant. the source of tapioca. a staple food in the tropics
pantothenic acid;a vitamin of the vitamin b complex that performs an important role in the oxidation of fats and carbohydrates and certain amino acids. occurs in many foods
sucrose;a complex carbohydrate found in many plants and used as a sweetening agent
icefall;a steep part of a glacier resembling a frozen waterfall
brine;water containing salts. 'the water in the ocean is all saltwater'
glycerol tripalmitate;a triglyceride of palmitic acid
nucleotide;a phosphoric ester of a nucleoside. the basic structural unit of nucleic acids (dna or rna)
succinic acid;a dicarboxylic acid (c4h6o4) active in metabolic processes
cyanamid;a weak soluble dibasic acid (the parent acid of cyanamide salts)
chian turpentine;a turpentine exuded by the terebinth
wheat gluten;gluten prepared from wheat
technetium;a crystalline metallic element not found in nature. occurs as one of the fission products of uranium
benzene;a colorless liquid hydrocarbon. highly inflammable. carcinogenic
pyridine;a toxic colorless flammable liquid organic base with a disagreeable odor. usually derived from coal
manganese tetroxide;an oxide of manganese found naturally as hausmannite
fulminic acid;(cnoh) an unstable acid occurring mainly in the form of explosive salts and esters that is isomeric with cyanic acid
pasteurized milk;milk that has been exposed briefly to high temperatures to destroy microorganisms and prevent fermentation
chromate;any salt or ester of chromic acid
ldl;a lipoprotein that transports cholesterol in the blood. high levels are thought to be associated with increased risk of coronary heart disease and atherosclerosis
chrome tungsten steel;a steel alloy made with chromium and tungsten
gamma aminobutyric acid;an amino acid that is found in the central nervous system. acts as an inhibitory neurotransmitter
citric acid;a weak water-soluble acid found in many fruits (especially citrus fruits). used as a flavoring agent
atomic number;a trivalent metalloid element. occurs both in a hard black crystal and in the form of a yellow or brown powder
li;a soft silver-white univalent element of the alkali metal group. the lightest metal known. occurs in several minerals
glycol;a sweet but poisonous syrupy liquid used as an antifreeze and solvent
airspace;the atmosphere above a nation and deemed to be under its jurisdiction
asparagine;a crystalline amino acid found in many plants (e.g., asparagus)
brewage;drink made by steeping and boiling and fermenting rather than distilling
creme de fraise;strawberry-flavored liqueur
lectin;any of several plant glycoproteins that act like specific antibodies but are not antibodies in that they are not evoked by an antigenic stimulus
